group,model,trait,alpha,omega,alpha_ci_low,alpha_ci_high,omega_ci_low,omega_ci_high
Human,Human,Extraversion,0.9077708834721376,0.9086292156654785,0.9004360190009201,0.913560782297276,0.8961178725022649,0.9106381853761177
Human,Human,Emotional_Stability,0.8828983639640605,0.8842305863598787,0.8667594165108478,0.8856689537024073,0.8726443228941885,0.8913948499670319
Human,Human,Agreeableness,0.8524903278988193,0.8599662993163675,0.8370720172451936,0.8632167825503118,0.8466796197222279,0.8711393858719089
Human,Human,Conscientiousness,0.83421774114895,0.8344180098030979,0.8226267600442522,0.8459834650985639,0.826149389256718,0.84856750435816
Human,Human,Openness,0.8096378078234657,0.8121452923166776,0.8053307949776354,0.8352472215492237,0.7966240952006769,0.8282444953657631
AI,claude-haiku-4.5,Extraversion,0.9426517765593131,0.9766432926241734,0.9239911550820862,0.9474489897338053,0.9733926581047628,0.9779305939705016
AI,claude-haiku-4.5,Emotional_Stability,0.9358664157417714,0.9358113114769971,0.9301334787347825,0.9389398079907095,0.9294720649672237,0.9398688902094557
AI,claude-haiku-4.5,Agreeableness,0.6804178794904915,0.925051678530379,0.6706284751507889,0.8384881212756459,0.9335847939941918,0.9564192138576613
AI,claude-haiku-4.5,Conscientiousness,0.9135875828673713,0.9247726054176808,0.9078071422362795,0.9289992192084469,0.9218035208599445,0.9411628932923258
AI,claude-haiku-4.5,Openness,0.8382179815748667,0.8911778318933773,0.8024365921727368,0.8736481224861116,0.8615364099133881,0.9112102460244973
AI,claude-sonnet-4.6,Extraversion,0.0007793126213470923,0.638540459692716,-2.4671622769447924e-16,3.7007434154171886e-16,,
AI,claude-sonnet-4.6,Emotional_Stability,0.0018436705637251787,0.004384902744283229,-7.401486830834377e-16,8.635067969306774e-16,,
AI,claude-sonnet-4.6,Agreeableness,0.06798989999776671,0.6470702902287035,-0.05447685672825685,0.1617137619355611,0.5696020018732284,0.7440963572755496
AI,claude-sonnet-4.6,Conscientiousness,0.4578859974065086,,0.3544071344018029,0.48288750767595817,,
AI,claude-sonnet-4.6,Openness,0.0345558252249044,,-0.014028523958990834,-0.002863610282793466,1.1983289976714528e-29,2.3772806263204387e-22
AI,deepseek-v3.2,Extraversion,0.9294253651953688,0.9334436482386582,0.9251587892317957,0.9345578511737246,0.928439720664008,0.9385271013098295
AI,deepseek-v3.2,Emotional_Stability,0.9641036018481424,0.9648497075811654,0.9618027226141113,0.9668007277475017,0.962036955393844,0.9673484879310077
AI,deepseek-v3.2,Agreeableness,0.825225076057111,0.8327665010559797,0.8163152758099298,0.8404103402697,0.821774020383303,0.8505855571692447
AI,deepseek-v3.2,Conscientiousness,0.8947827647621538,0.8979878564022595,0.8849797894375797,0.9055502685494731,0.8885273905122016,0.9095444770911993
AI,deepseek-v3.2,Openness,0.8213427650753211,0.8233289686999907,0.8124323162253018,0.8368904858157696,0.8156671116529952,0.8401854352339357
AI,gemini-3-flash-preview,Extraversion,0.9697176809281399,0.9805419050841792,0.9685654740890806,0.9702746936395147,0.9792072763765378,0.9811752343289604
AI,gemini-3-flash-preview,Emotional_Stability,0.7241289920557851,0.8032802695501637,0.6705828635960245,0.7188992344180579,0.7232682983244604,0.8381518740551478
AI,gemini-3-flash-preview,Agreeableness,0.6980362822473692,0.675324398213376,0.6669299364974542,0.7058485086126443,0.6820494122753177,0.7299098402833486
AI,gemini-3-flash-preview,Conscientiousness,0.294923381494406,0.43361689944666204,0.21684623385208568,0.3103916638848431,0.29400353361114345,0.5098079905966258
AI,gemini-3-flash-preview,Openness,0.7630026975880327,0.7630661411110383,0.7382324333375755,0.7846293001768503,0.7551246887868837,0.8181437948743135
AI,gemini-3.1-flash-lite-preview,Extraversion,0.973692071811679,0.9849812361504757,0.9729703727475332,0.9751965957321576,0.9840559188062865,0.9859989645272069
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,0.9093026936584666,0.9168277297974529,0.88884475602371,0.9093707216363218,0.8982992248716622,0.9183686989295607
AI,gemini-3.1-flash-lite-preview,Agreeableness,0.8795368129451382,0.8941348868036412,0.8728128489928464,0.8933621676197201,0.8863126487882425,0.9080497516455466
AI,gemini-3.1-flash-lite-preview,Conscientiousness,0.7995322747923221,0.8104383710836615,0.7779596853386945,0.8137959337672728,0.7850243458970979,0.8189868511201038
AI,gemini-3.1-flash-lite-preview,Openness,0.8174692634099066,0.8704520697070817,0.8041401721046965,0.8387553494540121,0.860628195715227,0.88341274161156
AI,gpt-5.4,Extraversion,0.9541878972749773,,0.9441965473542755,0.9566310095507877,,
AI,gpt-5.4,Emotional_Stability,0.9808868846095431,0.9850902568993595,0.9793766221587,0.9811784537888666,0.9836005965201016,0.9856284845742788
AI,gpt-5.4,Agreeableness,0.554788678119512,0.5565482225636342,0.5369765435801517,0.5803395391817759,0.5651492947817336,0.6387229152432384
AI,gpt-5.4,Conscientiousness,0.6804814744504253,0.7248499590585973,0.6581917462682148,0.7062914455551799,0.6377332506345358,0.746668197870742
AI,gpt-5.4,Openness,0.8249514604056053,0.8128765733679767,0.819853542366123,0.8362362011662794,0.8066863258267358,0.843185119944913
AI,gpt-5.4-mini,Extraversion,0.9405175095250045,0.9463173893559484,0.934073291400473,0.9489329612776526,0.9372963300122068,0.9547819187503597
AI,gpt-5.4-mini,Emotional_Stability,0.9566676554407455,0.9659980600473808,0.9447826213624854,0.9591470211399364,0.9572674561189372,0.9690114824702448
AI,gpt-5.4-mini,Agreeableness,0.8360305867126516,0.9434084454879026,0.7183180792601848,0.8381558490243504,0.899096737701633,0.9489158168723925
AI,gpt-5.4-mini,Conscientiousness,0.8718709437858342,,0.7363835048874743,0.889398699130337,,
AI,gpt-5.4-mini,Openness,0.7571525153141193,,0.6797380142352091,0.7951553980731025,,
AI,gpt-5.4-nano,Extraversion,0.9445877288026989,0.9489277928362589,0.9422295657871012,0.9472588493534163,0.9469635474963969,0.951168765616398
AI,gpt-5.4-nano,Emotional_Stability,0.9262278654148001,0.9328668291649326,0.9215920451932754,0.9303063685289742,0.9292575483436624,0.9366602084994177
AI,gpt-5.4-nano,Agreeableness,0.26953347421263063,0.2795610504130809,0.21883863871060294,0.3304634852802835,0.3084892397355332,0.3872722866936595
AI,gpt-5.4-nano,Conscientiousness,0.27239640428703504,0.34122266344928426,0.15761457107191632,0.27460454412871915,0.2696936167617768,0.38290990791675383
AI,gpt-5.4-nano,Openness,0.2830992072982203,0.41751848328267066,0.1391720956968073,0.27560340389197047,0.3226276878420059,0.4498825884313494
